Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,96,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,96,20,P:System.Windows.Forms.Form.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,95,20,T:System.Windows.Forms.TextBox,,,,,_txtConfirm.Focus();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,95,20,M:System.Windows.Forms.Control.Focus,,,,,_txtConfirm.Focus();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,94,20,T:System.Windows.Forms.TextBox,,,,,_txtConfirm.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,94,20,M:System.Windows.Forms.TextBoxBase.Clear,,,,,_txtConfirm.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,F:System.Windows.Forms.MessageBoxIcon.Warning,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
